question,intent
CNN began broadcasting in what year ?,Fact
What is a ball that hits the foul pole called ?,Fact
What makes hamburgers taste like steakburgers ?,Definition
Which company created the Internet browser Mosaic ?,Fact
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,Fact
What was the education system in the 1960 's ?,Fact
What South American city has the world 's highest commercial landing field ?,Fact
How can I find out which cities have cable-modem access ?,HowTo
What is Betsy Ross famous for ?,Definition
How many species of sharks are there ?,HowTo
What is `` snoogans '' ?,Definition
How many people are there in the world ?,HowTo
What shrubs can be planted that will be safe from deer ?,Fact
What organization 's offices were broken into at Watergate in 1972 ?,Fact
What is the design of the ship Titanic ?,Definition
What does S.O.S. stand for ?,Definition
Name a technique widely used to detect birth defects ?,Fact
What is the daily requirement of folic acid for an expectant mother ?,Definition
What is the `` 7-minute cigarette '' ?,Definition
What four forms does gold occur in ?,Fact
What is the acreage of the Chappellet vineyard ?,Fact
How do you correctly say the word ` qigong ' ?,HowTo
When did beethoven die ?,Fact
How much does a new railroad coal car cost ?,HowTo
What two European countries entered the War of American Independence against the British ?,Fact
What is the filmmakers collabrative ?,Definition
What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,Fact
What caused Harry Houdini 's death ?,Definition
"Who was the mother of the man who would not be king , the duke of Windsor ?",Fact
How many revolutions does a standard LP make in three minutes ?,HowTo
What is the name of the tallest mountain in the world ?,Fact
Where can I find a review of Nightmare on Elm Street in a film journal ?,Fact
What 's the slowest Olympic swimming stroke ?,Fact
What was the name of the first Russian astronaut to do a spacewalk ?,Fact
What disease is transmitted by the Anopheles mosquito ?,Fact
What rum is so `` mixable '' it is a one-brand bar ?,Fact
How many South American countries have the letter Z in their names ?,HowTo
What is the contents of proposition 98 ?,Definition
Where was George Washington born ?,Fact
"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .",HowTo
Who wrote NN DT NNP NNP '' ?,Fact
What is paracetamol ?,Definition
What are the powers and weaknesses of Green Lantern 's ring ?,Definition
"Which mosquito 's bite draws blood , DT NN CC DT NN .",Fact
When was the first steel mill in the United States built ?,Fact
What diminutive American female gymnast stole the show at the 1984 Olympics ?,Fact
What is the origin of the name Katie ?,Definition
"What schools in the Washington , DC NN NN VBP NN NN NN NN .",Fact
When did the Berlin Wall go up ?,Fact
Who is Terrence Malick ?,Fact
What instrument is Ray Charles best known for playing ?,Fact
"What 's the meaning of the Latin battle cry : Ad arma , ad arma .",Definition
What is the mascot for Notre Dame University ?,Fact
"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?",Fact
When did Mount St. Helen last have a significant eruption ?,Fact
CNN is the abbreviation for what ?,Definition
When did World War I start ?,Fact
How many feet are there in a fathom ?,HowTo
What is a Canada two-penny black ?,Definition
What European city do Nicois live in ?,Fact
How can I find out what year a Beanie Baby was introduced ?,HowTo
What is the classic definition of tragic hero ?,Definition
To what does Microsoft 's Windows 3 owe its success ?,Fact
Who was President of Afghanistan in 1994 ?,Fact
"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",Fact
What did brontosauruses eat ?,Fact
What color bottles do good Rhine wines come in ?,Fact
Who was the lead actress in the movie ` Sleepless in Seattle ' ?,Fact
Who was the 16th President of the United States ?,Fact
Who are the two sons of Ozzie and Harriet Nelson ?,Fact
What is molybdenum ?,Definition
When is Boxing Day ?,Fact
What is the lowest level of the American judiciary ?,Fact
When was the battle of the Somme fought ?,Fact
How many people did Randy Craft kill ?,HowTo
What 's the official animal of Canada ?,Fact
When did Spielberg direct `` Jaws '' ?,Fact
What is the size of the largest akita ?,Fact
What animal has the biggest eyes ?,Fact
What is California 's capital ?,Fact
Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,Fact
Who was the founding member of the Pink Floyd band ?,Fact
What European country is home to the beer-producing city of Budweis ?,Fact
How do I find the balance of my social security account ?,HowTo
What is the history of Valentine 's Day cards ?,Definition
Where was Christopher Columbus born ?,Fact
What do Italians call Florence ?,Fact
How do you get to the top of the Eiffel Tower ?,HowTo
What does ` PSI ' stand for ?,Definition
What sea did the Romans call mare nostrum ?,Fact
What 's the term for a bet before cards are dealt ?,Fact
"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?",Fact
What city did the Flintstones live in ?,Fact
What is Latin for incompetent ?,Fact
What chemicals are used in lethal injection ?,Fact
What toy company is the world 's No.1 maker of female apparel ?,Fact
What board game does a `` wood-pusher '' play poorly ?,Fact
Which Doonesbury character was likely to turn into a werewolf ?,Fact
What is the abbreviation for micro ?,Definition
What are the 7 articles of the constitution ?,Fact
Who has won the most Super Bowls ?,Fact
What does NASDAQ stand for ?,Definition
What is BPH ?,Definition
What is the fastest commercial automobile that can be bought in the US ?,Fact
What stadium do the Miami Dolphins play their home games in ?,Fact
Who has the only speaking role in `` Silent Movie '' ?,Fact
Why is poop sometimes different colors ?,Reason
What was Einstein 's IQ ?,Fact
What day was Pearl Harbor attacked in 1942 ?,Fact
What girl 's name is `` Teddy '' an affectionate form of ?,Fact
What state is John F. Kennedy buried in ?,Fact
What is the best way to remove wallpaper ?,Fact
What U.S. state has an element named for it ?,Fact
What company tabulates the ballots in voting for the Academy Awards ?,Fact
How did the tradition of best man start ?,HowTo
How many years ago did the ship Titanic sink ?,HowTo
What is the deepest area of the Arctic Ocean ?,Fact
What are Halloween 's colors ?,Fact
How is silk screening done ?,HowTo
"What is the latitude and longitude of El Paso , Texas ?",Fact
Who made a boat out of gopher wood ?,Fact
Where can I find a `` Fifth Element '' screensaver ?,Fact
Which Bloom County resident wreaks havoc with a computer ?,Fact
How do you match a name to a social security number ?,HowTo
How does a rainbow form ?,HowTo
What is the normal resting heart rate of a healthy adult ?,Fact
What is the population of Ohio ?,Fact
How many calories are there in a Big Mac ?,HowTo
Hazmat stands for what ?,Definition
What creature scares people in the film `` Jaws '' ?,Fact
What part did John Peter Zenger play in the deveopment of the newspaper in America ?,Fact
Who followed Caesar ?,Fact
What are the four elements ?,Fact
Who was the first woman golfer to earn a million ?,Fact
What 's the tallest piece on a chessboard ?,Fact
What is Answers.com 's address ?,Fact
Where can I buy movies on videotape online ?,Fact
Who does the advertizing for Frito-Lay ?,Fact
Who is the leading competitor of Trans Union Company ?,Fact
What product did Robert Conrad dare people to knock off his shoulder ?,Fact
Who invented the radio ?,Fact
What 's the American dollar equivalent for 8 pounds in the U.K. ?,Fact
What are the different approaches of systems analysis ?,Fact
How do doctors diagnose bone cancer ?,HowTo
Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,Fact
What is the speed of the Mississippi River ?,Fact
What are the developmental stages of a swimmer ?,Fact
What actor first portrayed James Bond ?,Fact
What ocean is the largest in the world ?,Fact
"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?",Fact
What year did Jack Nicklaus join the Professional Golfers Association tour ?,Fact
How many sonnets did Shakespeare write ?,HowTo
What causes the redness in your cheeks when you blush ?,Definition
Who won the Nobel Peace Prize in 1991 ?,Fact
Who are the Challengers of the Unknown ?,Fact
Define the Pheonix Club ?,Definition
Which city did Christian Crusaders fight to recapture from the Muslims ?,Fact
What does it mean `` Rupee Depreciates '' ?,Definition
What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,Fact
Who was the first coach of the Cleveland Browns ?,Fact
How successful is arometherapy ?,HowTo
What Jewish holiday saw the start of the 1973 Mideast War ?,Fact
How does a copier work ?,HowTo
What is the speed of the Mississippi River ?,Fact
Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,Fact
What is Dudley Do-Right 's horse 's name ?,Fact
Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,Fact
Where does chocolate come from ?,Fact
What TV game show once saw a contestant admit to picking his toes in the shower ?,Fact
What Soviet leader owned a Rolls-Royce ?,Fact
Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,Fact
What war did Florence Nightingale tend the troops in ?,Fact
"Who wrote the song , `` Stardust '' ?",Fact
How many Beatles ' records went #1 ?,HowTo
Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,Fact
What is the abbreviation of the company name ` General Motors ' ?,Definition
What mountains lie between the Arkansas and Missouri rivers ?,Fact
Who received the Will Rogers Award in 1989 ?,Fact
What is the function of RAM ?,Definition
What 's the closest G2 Spectrum Yellow Dwarf to Earth ?,Fact
How many equal angles are there in an isosceles triangle ?,HowTo
What is the fear of cockroaches called ?,Fact
What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,Fact
What is the use of a 24-hour clock instead of a 12-hour clock ?,Definition
What was the name of the lawyer who represented Randy Craft ?,Fact
What United States President had dreamed that he was assassinated ?,Fact
What film did Lee Marvin win the 1965 best actor Oscar for ?,Fact
Where is Basque country located ?,Fact
What product does `` Mrs. Olsen '' promote ?,Fact
What time of day did Emperor Hirohito die ?,Fact
What is dry ice ?,Definition
What 's the most powerful card in Euchre ?,Fact
What does `` intractable plantar keratoma '' mean ?,Definition
How many years did it take James Joyce to write Ulysses ?,HowTo
What crop failure caused the Irish Famine ?,Fact
What South Korean city is served by Kimpo International Airport ?,Fact
How many types of dogs ' tails are there - three,HowTo
What is the longest-running television series ?,Fact
What predators exist on Antarctica ?,Fact
What is the difference between a generator and an alternator ?,Comparison
How is energy created ?,HowTo
What beer advertised that it had `` three rings '' ?,Fact
What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,Fact
What golfing accessory was patented by George Grant on December 12,Fact
What are the different types of plastic ?,Fact
How is it correct to say ` qigong ' ?,HowTo
What was the highest mountain on earth before Mount Everest was discovered ?,Fact
"Where was the Ligurian Republic , 1797-185 , ?",Fact
What country 's people are the top television watchers ?,Fact
When was the women 's suffrage amendment ratified ?,Fact
What Polynesian people inhabit New Zealand ?,Fact
What movie tour of the Roman empire features the admonition : `` Row well and live '' ?,Fact
What Nevada center has been dubbed The Biggest Little City in the World ?,Fact
"What President lived at 219 North Delaware Street , Independence , Missouri ?",Fact
Give a reason for American Indians oftentimes dropping out of school .,Definition
Where must a soccer goalie stand to be permitted to handle the ball ?,Fact
What is the difference between classical conditioning and operant conditioning ?,Comparison
In what U.S. state was the first woman governor elected ?,Fact
What are some interesting facts and information about dogsledding ?,Definition
What year did Hitler die ?,Fact
What famous model was married to Billy Joel ?,Fact
What kind of animal is Babar ?,Fact
What is Jane Goodall known for ?,Definition
What killed Bob Marley ?,Fact
How much money are Dumbo 's ears insured for ?,HowTo
Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?,Fact
Who is Stein Eriksen ?,Fact
What does the name Billie mean ?,Definition
Who is the fastest swimmer in the world ?,Fact
What is the highest peak in Africa ?,Fact
Where is Procter & Gamble headquartered in the U.S. ?,Fact
What desert has been called The Garden of Allah ?,Fact
What do bicornate animals have two of ?,Fact
What function does a community 's water tower serve ?,Definition
What is a fear of weakness ?,Fact
How many miles is it to Ohio from North Carolina ?,HowTo
How much snow equals an inch of rain ?,HowTo
What does G.M.T. stand for ?,Definition
What does Inuit and Eskimo mean ?,Definition
What song served as the closing theme of The Johnny Cash Show ?,Fact
What field sport did dentist William Beers promote and write a standard book of rules for ?,Fact
How do I tie dye clothes ?,HowTo
When does the average teenager first have intercourse ?,Fact
Why doesn 't www.answers.com have any answers to my questions ?,Reason
What actor 's autobiography is titled All My Yesterdays ?,Fact
What Russian master spy lived in the U.S. under the name Emil Goldfus ?,Fact
Where 's the 19th hole on a golf course ?,Fact
What 's nature 's purpose for tornadoes ?,Definition
Who played the original Charlie 's Angels ?,Fact
Where can I find a person 's address from a telephone number ?,Fact
"What English word comes from the Old French covrefeu , meaning cover fire ?",Fact
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,Fact
Where did Sarge Steel get his metal hand ?,Fact
What makes popcorn pop ?,Definition
Who wrote The Night of the Iguana ?,Fact
Where does your hair grow the fastest ?,Fact
What country did King Gustav V reign over from 197 to 195 ?,Fact
Who painted Mother and Child ?,Fact
What is the speed of the Mississippi River ?,Fact
In what area of the world was the Six Day War fought ?,Fact
What is the brightest star visible from Earth ?,Fact
What film marked Robert Redford 's directorial debut ?,Fact
What was Mao 's second name ?,Fact
What film or films has Jude Law appeared in ?,Fact
Where do hyenas live ?,Fact
Who is the `` Queen Mother '' ?,Fact
What 's the most commonly-spoken language in Belgium ?,Fact
Who has more DNA - a man or a woman ?,Fact
What are Maid-Rites ?,Definition
"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?",Fact
What level of government or governmental agency is responsible for dealing with racism ?,Fact
How many referees work a soccer game ?,HowTo
What cocktail do you concoct with whisky and sweet vermouth ?,Fact
How do you say `` fresh '' in Spanish ?,HowTo
What do bee hives do in cranberry bogs ?,Definition
What caused the Lynmouth floods ?,Definition
When is the Tulip Festival in Michigan ?,Fact
"Who came up with the name , El Nino ?",Fact
What movie did Madilyn Kahn star in with Gene Wilder ?,Fact
What type of bridge is the Golden Gate Bridge ?,Fact
What dictator has the nickname `` El Maximo '' ?,Fact
What stereo manufacturer is `` Slightly ahead of its time '' ?,Fact
What U.S. city is The Queen of the Pacific ?,Fact
What TV sitcom character had the maiden name Ethel Potter ?,Fact
What was the first Lifesaver flavor ?,Fact
Who kept the most famous diary in the English language ?,Fact
Where can I find out the top 1 singles ?,Fact
How many degrees cooler is the inside of a cucumber than the air outside ?,HowTo
What Spanish artist painted Crucifixion ?,Fact
What is the Jewish bible called ?,Fact
Why is the grass green ?,Reason
What is a firewall ?,Definition
What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,Fact
Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?,Fact
How long does it take for Spider-Man 's web to evaporate ?,HowTo
Who was Randy Steven Craft 's lawyer ?,Fact
What was known as the Spice Island ?,Fact
Who was the first host of Person to Person ?,Fact
Name the Ranger who was always after Yogi Bear .,Fact
"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?",Fact
What does the Statue of Liberty wear on her feet ?,Fact
Who is the superstar in rent-a-cars ?,Fact
McCarren Airport is located in what city ?,Fact
"What household facility contains a float ball , ballcock , and overflow tube ?",Fact
What was the name of Betty Boop 's dog ?,Fact
What fraction of a beaver 's life is spent swimming ?,Fact
What was the Bridge of San Luis Rey made of ?,Fact
What do economists do ?,Definition
What country has the largest sheep population ?,Fact
"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?",Definition
What country is the world 's largest importer of cognac ?,Fact
How many years is Johnnie Walker Black Label aged ?,HowTo
What does SIDS stand for ?,Definition
What is Grenada 's main commodity export ?,Fact
"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?",HowTo
What makes a clitoris sensitive ?,Definition
"What country has the most time zones , with 11 ?",Fact
What `` magic '' does Mandrake employ ?,Fact
Who is the president of Stanford University ?,Fact
Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?,Fact
"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?",Fact
What city is Logan Airport in ?,Fact
What is a nanometer ?,Definition
How many innings are there in a regulation softball game ?,HowTo
When did CNN go on the air ?,Fact
What is the largest city on the Great Lakes ?,Fact
What is the telephone number for the University of Kentucky ?,Fact
Who invented baseball ?,Fact
How many wives did Brigham Young have ?,HowTo
What product on the market is good for hiding facial scars ?,Fact
How long is the Coney Island boardwalk ?,HowTo
What city gained renown for its pea-soup fogs ?,Fact
What does `` Janelle '' mean ?,Definition
How do I get another city 's newspaper ?,HowTo
Name a movie about the Sioux Indians starring Kevin Costner .,Fact
"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?",Fact
What are the distinct physical characterstics of the Arabian horse ?,Definition
What is a fear of thunder ?,Fact
What animal has killed the most people ?,Fact
How many colleges are in Wyoming ?,HowTo
What Russian seaport has a name meaning `` Lord of the East '' ?,Fact
Where can stocks be traded on-line ?,Fact
When was the Battle of Hastings ?,Fact
What kind of file has the extension .dbf ?,Fact
When did Muhammad live ?,Fact
"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?",Fact
What is a wop ?,Definition
Where do rocks come from ?,Fact
How do I stop background noise in a car stereo ?,HowTo
Where do people mountain climb in Nepal ?,Fact
What is the best college in the country ?,Fact
What is viscosity ?,Definition
What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?,Fact
What are the Nordic nations ?,Fact
Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?,Fact
What U.S. state borders Illinois to the north ?,Fact
Name a film in which Jude Law acted .,Fact
What is the temperature for baking Peachy Oat Muffins ?,Fact
What is a fear of bees ?,Fact
What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?,Fact
What is a green bog ?,Definition
Where did the myth of Santa Claus originate ?,Fact
What does a chairbound basophobic fear ?,Fact
What city is served by Logan International Airport ?,Fact
What wrestling star became `` The Incredible Hulk '' ?,Fact
What attracts tourists to Reims ?,Fact
What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?,Fact
What fastener did Whitcomb Judson patent in 1893 ?,Fact
What 's an auberge in France ?,Definition
Who was the star of the 1965 Broadway hit Golden Boy ?,Fact
Where is Procter & Gamble based in the U.S. ?,Fact
What army was founded by William Booth and his wife Catherine ?,Fact
What does ribavirin consist of ?,Fact
Name the soft drink that is `` number one in the sun . '',Fact
What is the web address of the list of e-mail addresses of members of the House of Representatives ?,Fact
What was her real name ?,Fact
Why are the ears your center of balance ?,Reason
Who invented the toothbrush ?,Fact
What was the name of that popular song the Creeps sang ?,Fact
Where is the Abominable Snowman said to wander ?,Fact
What is a fear of being alone ?,Fact
How many dots make up the symbol for `` because '' ?,HowTo
What do you get by adding Lactobacillus bulgaricus to milk ?,Fact
"When reading classified ads , what does EENTY : other stand for ?",Fact
How many hearts does an octopus have ?,HowTo
What plant has the largest seed ?,Fact
What was the only country you were allowed to drive into Israel from in 1979 ?,Fact
What 's approaching when a cyclist shouts : `` Oil '' ?,Fact
"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?",Fact
What kind of sport is often associated with hooligans ?,Fact
What video game hero do some of his fans call Chomper ?,Fact
How many holes are there in a tenpin bowling ball ?,HowTo
What is the longest word in the English language ?,Fact
In What city or state do the most gay men live in ?,Fact
"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?",Fact
What is `` the bear of beers '' ?,Fact
Name the operating system that runs on IBM-compatible machines .,Fact
What does the name `` Justin '' mean ?,Definition
What percentage of the body is muscle ?,Fact
What color of dry wine should be served with veal roasts and chops ?,Fact
What is a golf ball made of ?,Fact
